environment,battle_style,core_strength,personality,pokemon_name,img_url,type1
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,grass
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,grass
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,grass
Mountains & Caves,Strategic & Long-Range,Speed & Evasion,Bold & Competitive,Charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,fire
Mountains & Caves,Strategic & Long-Range,Raw Power,Bold & Competitive,Charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,fire
Mountains & Caves,Quick & Agile,Raw Power,Bold & Competitive,Charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,fire
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,water
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,water
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,water
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,bug
Forests & Jungles,Strategic & Long-Range,Resilience,Mysterious & Cunning,Metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,bug
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,bug
