environment,battle_style,core_strength,personality,social_style,pokemon_name,img_url,shiny_img_url,type1,pokedex_entry,hp,attack,defense,is_legendary,is_mythical
Verdant Forests,Versatile All-Rounder,Raw Power,Gentle & Protective,Flexible,Bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,grass,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,45,49,49,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Gentle & Protective,Flexible,Ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,grass,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",60,62,63,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Gentle & Protective,Flexible,Venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,grass,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,80,82,83,False,False
Volcanic Mountains,Versatile All-Rounder,Speed & Evasion,Passionate & Fierce,Flexible,Charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,fire,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",39,52,43,False,False
Volcanic Mountains,Versatile All-Rounder,Raw Power,Passionate & Fierce,Flexible,Charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,fire,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",58,64,58,False,False
Volcanic Mountains,Glass Cannon Mage,Raw Power,Passionate & Fierce,Flexible,Charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,fire,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,78,84,78,False,False
Serene Waters,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,water,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",44,48,65,False,False
Serene Waters,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,water,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",59,63,80,False,False
Serene Waters,Immovable Wall,Resilience,Gentle & Protective,Flexible,Blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,water,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,79,83,100,False,False
Verdant Forests,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,bug,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,45,30,35,False,False
